Class,Project,Lines,String_Char_Count,Number_Types_Count
"CharPosition1","java","10","0","0"
"HWordPosition","java","140","9","0"
"Scheme","java","730","49","10"
"VerticalBlock","java","422","12","0"
"CharTable","java","453","46","0"
"Block","java","151","16","0"
"HorizontalBlock","java","319","5","6"
"SimulationClientWorker","virtualinfinity","43","1","0"
"Server","virtualinfinity","44","0","0"
"SimulationServerWorker","virtualinfinity","67","4","0"
"Client","virtualinfinity","47","1","0"
"Temperature","virtualinfinity","90","0","15"
"DistanceOverTime","virtualinfinity","24","2","3"
"RelativeAngle","virtualinfinity","160","2","26"
"CartesianVector","virtualinfinity","45","0","11"
"Heat","virtualinfinity","10","0","0"
"PolarVector","virtualinfinity","47","0","8"
"Vector","virtualinfinity","155","2","14"
"AbsoluteAngle","virtualinfinity","255","2","32"
"AngleBracket","virtualinfinity","97","0","12"
"Duration","virtualinfinity","44","2","3"
"PairTournamentResults","virtualinfinity","56","2","0"
"Main","virtualinfinity","133","9","0"
"PairTournament","virtualinfinity","109","0","0"
"MapWithDefaultValue","virtualinfinity","89","0","0"
"SnapshotToJson","virtualinfinity","136","2","0"
"JsonToSnapshots","virtualinfinity","139","9","13"
"RobotFile","virtualinfinity","50","5","0"
"RobotSource","virtualinfinity","39","4","0"
"RobotConfigurer","virtualinfinity","271","0","6"
"RobotFactory","virtualinfinity","98","7","0"
"Errors","virtualinfinity","100","10","0"
"AtRobotCompiler","virtualinfinity","77","0","0"
"Token","virtualinfinity","162","26","0"
"AtRobotInterruptFactory","virtualinfinity","170","0","5"
"HardwareSpecification","virtualinfinity","104","10","2"
"Symbol","virtualinfinity","30","0","0"
"LineVisitor","virtualinfinity","42","6","0"
"AtRobotCompilerOutput","virtualinfinity","149","4","0"
"AtRobotLineLexer","virtualinfinity","249","34","4"
"AtRobotPortFactory","virtualinfinity","114","0","5"
"LineNumberReaderCompiler","virtualinfinity","320","24","4"
"ArenaObjectVisitorAdaptor","net","29","0","0"
"InvalidPort","virtualinfinity","9","0","0"
"CycleSource","virtualinfinity","10","0","0"
"PortListener","virtualinfinity","11","0","0"
"PortHandler","virtualinfinity","26","0","0"
"CommunicationsQueue","virtualinfinity","10","0","0"
"TangibleArenaObject","virtualinfinity","20","0","1"
"Heading","virtualinfinity","72","3","1"
"RoundTimer","virtualinfinity","20","0","0"
"SimulationFrameBuffer","virtualinfinity","39","0","0"
"Velocity","virtualinfinity","25","2","0"
"SimulationFrame","virtualinfinity","57","0","0"
"Odometer","virtualinfinity","27","0","4"
"FrameBuilder","virtualinfinity","28","0","0"
"ExplosionFunction","virtualinfinity","24","0","3"
"Speed","virtualinfinity","25","3","2"
"Scan","virtualinfinity","48","0","2"
"LinearDamageFunction","virtualinfinity","34","0","7"
"Position","virtualinfinity","65","0","8"
"SimulationObserver","virtualinfinity","8","0","0"
"Arena","virtualinfinity","209","0","0"
"Explosion","virtualinfinity","49","0","2"
"RoundState","virtualinfinity","23","0","0"
"RadioListener","virtualinfinity","8","0","0"
"RadioDispatcher","virtualinfinity","21","0","0"
"HasOverburner","virtualinfinity","12","0","0"
"MineLayer","atrobots","104","0","1"
"Mine","atrobots","67","0","3"
"HasHeading","virtualinfinity","12","0","0"
"MissileLauncher","atrobots","102","0","3"
"MissileFactory","atrobots","13","0","1"
"Missile","atrobots","124","0","4"
"Transponder","atrobots","16","0","0"
"HeatSinks","atrobots","39","0","2"
"Transceiver","atrobots","54","0","0"
"Turret","atrobots","47","0","0"
"ArmorDepletionListener","atrobots","10","0","0"
"Armor","atrobots","71","0","4"
"Shield","atrobots","70","0","5"
"Throttle","atrobots","101","0","4"
"ScanResult","atrobots","18","0","1"
"Sonar","hardware","40","0","1"
"Scanner","hardware","99","0","2"
"ScanSource","atrobots","12","0","1"
"Radar","hardware","31","0","1"
"AtRobotMicrocodes","virtualinfinity","34","0","0"
"AtRobotInterrupt","virtualinfinity","84","5","0"
"AtRobotSymbol","virtualinfinity","14","1","0"
"AtRobotInstruction","virtualinfinity","113","4","0"
"AtRobotPort","virtualinfinity","86","7","0"
"AtRobotRegister","virtualinfinity","41","1","0"
"AtRobotRegisterAddresses","virtualinfinity","22","0","0"
"SnapshotVisitor","virtualinfinity","18","0","0"
"ArenaObjectSnapshot","virtualinfinity","54","0","4"
"UnknownSnapshot","virtualinfinity","19","2","0"
"RobotSnapshot","virtualinfinity","187","6","6"
"SnapshotAdaptor","virtualinfinity","26","0","0"
"ExplosionSnapshot","virtualinfinity","42","0","8"
"MineSnapshot","virtualinfinity","21","0","3"
"ScanSnapshot","virtualinfinity","75","0","3"
"MissileSnapshot","virtualinfinity","28","0","0"
"ArenaObjectVisitor","net","24","0","0"
"GetTimerInterrupt","virtualinfinity","27","0","0"
"GetGameInfoInterrupt","virtualinfinity","32","0","0"
"DestructInterrupt","virtualinfinity","18","0","0"
"OverburnInterrupt","virtualinfinity","22","0","0"
"TransmitInterrupt","virtualinfinity","23","0","0"
"CopyMemoryCellsInterrupt","virtualinfinity","21","0","0"
"GetQueueSizeInterrupt","virtualinfinity","22","0","0"
"GetIdInterrupt","virtualinfinity","23","0","0"
"FindAngleInterrupt","virtualinfinity","32","0","0"
"Destructable","virtualinfinity","10","0","0"
"SetKeepshiftInterrupt","virtualinfinity","22","0","0"
"InvalidInterrupt","virtualinfinity","19","0","0"
"LocateInterrupt","virtualinfinity","25","0","0"
"ResetInterrupt","virtualinfinity","19","0","0"
"ReceiveInterrupt","virtualinfinity","22","0","0"
"ZeroMemoryCellsInterrupt","virtualinfinity","21","0","0"
"ResetMetersInterrupt","virtualinfinity","24","0","0"
"DebugConsole","virtualinfinity","199","34","6"
"ReaderConsoleInput","virtualinfinity","28","1","0"
"ConsoleImpl","virtualinfinity","38","1","0"
"ConsoleOutput","virtualinfinity","12","0","0"
"Console","virtualinfinity","16","1","0"
"ConsoleInput","virtualinfinity","12","1","0"
"PrintStreamConsoleOutput","virtualinfinity","24","0","0"
"Debugger","virtualinfinity","263","0","6"
"BreakpointHandler","virtualinfinity","12","0","0"
"StandardRoundState","virtualinfinity","28","0","0"
"Round","virtualinfinity","76","0","0"
"RoundListener","virtualinfinity","10","0","0"
"Game","virtualinfinity","170","0","0"
"RobotGameResult","virtualinfinity","39","2","0"
"GameResult","virtualinfinity","28","2","0"
"SwapInstruction","virtualinfinity","18","0","0"
"AddInstruction","virtualinfinity","16","0","0"
"SubtractInstruction","virtualinfinity","16","0","0"
"UnknownInstruction","virtualinfinity","16","0","0"
"BitShiftLeftInstruction","virtualinfinity","17","0","0"
"AbstractCombiningInstruction","virtualinfinity","26","0","0"
"InterruptHandler","virtualinfinity","27","0","0"
"SetInstructionPointerInstruction","virtualinfinity","16","0","0"
"MultiplyInstruction","virtualinfinity","17","0","0"
"JumpWhenGreaterInstruction","virtualinfinity","13","0","0"
"Flags","virtualinfinity","80","5","0"
"SpecialRegister","virtualinfinity","11","0","0"
"BitRotateLeftInstruction","virtualinfinity","17","0","0"
"BitwiseExclusiveOrInstruction","virtualinfinity","17","0","0"
"NegateInstruction","virtualinfinity","16","0","0"
"JumpWhenNotZeroInstruction","virtualinfinity","13","0","0"
"MoveInstruction","virtualinfinity","16","0","0"
"JumpWhenEqualInstruction","virtualinfinity","13","0","0"
"ReadPortInstruction","virtualinfinity","17","0","0"
"RandomAccessMemoryArray","virtualinfinity","38","0","0"
"JumpWhenZeroInstruction","virtualinfinity","13","0","0"
"InvalidMicrocodeInstruction","virtualinfinity","16","0","0"
"Restartable","virtualinfinity","12","0","0"
"InstructionTable","virtualinfinity","132","0","1"
"ReadOnlyMemoryArray","virtualinfinity","41","0","0"
"Microcode","virtualinfinity","116","0","4"
"ErrorInstruction","virtualinfinity","16","0","0"
"SetCXInstruction","virtualinfinity","16","0","0"
"DecrementInstruction","virtualinfinity","15","0","0"
"JumpWhenGreaterOrEqualInstruction","virtualinfinity","13","0","0"
"AddressInstruction","virtualinfinity","15","0","0"
"BitwiseNegationInstruction","virtualinfinity","16","0","0"
"BitShiftRightInstruction","virtualinfinity","17","0","0"
"MemoryCell","virtualinfinity","48","2","0"
"EmptyDebugListener","virtualinfinity","14","0","0"
"CompareInstruction","virtualinfinity","22","0","0"
"DelayInstruction","virtualinfinity","16","0","0"
"DebugInfo","virtualinfinity","42","11","7"
"PopInstructionPointerInstruction","virtualinfinity","16","0","0"
"WritePortInstruction","virtualinfinity","16","0","0"
"Memory","virtualinfinity","146","0","0"
"Instruction","virtualinfinity","32","0","0"
"JumpWhenLessOrEqualInstruction","virtualinfinity","13","0","0"
"LoopInstruction","virtualinfinity","20","0","0"
"BitwiseOrInstruction","virtualinfinity","17","0","0"
"StackMemory","virtualinfinity","31","0","0"
"DebugListener","virtualinfinity","23","0","0"
"CallInstruction","virtualinfinity","16","0","0"
"JumpWhenLessInstruction","virtualinfinity","14","0","0"
"ModuloInstruction","virtualinfinity","20","0","0"
"HardwareBus","virtualinfinity","169","0","6"
"Computer","virtualinfinity","403","5","8"
"PushInstruction","virtualinfinity","16","0","0"
"SignedBitShiftRightInstruction","virtualinfinity","13","0","0"
"BitwiseAndInstruction","virtualinfinity","17","0","0"
"Resettable","virtualinfinity","8","0","0"
"PopInstruction","virtualinfinity","15","0","0"
"GetInstruction","virtualinfinity","15","0","0"
"MemoryRegion","virtualinfinity","57","1","0"
"NoOperationInstruction","virtualinfinity","15","0","0"
"ComputerErrorHandler","virtualinfinity","30","0","0"
"IncrementInstruction","virtualinfinity","16","0","0"
"Program","virtualinfinity","25","0","0"
"BitRotateRightInstruction","virtualinfinity","17","0","0"
"DivideInstruction","virtualinfinity","21","0","0"
"TestInstruction","virtualinfinity","21","0","0"
"MemoryArray","virtualinfinity","68","0","0"
"AbstractConditionalJumpInstruction","virtualinfinity","26","0","0"
"AtRobotsCommunicationsQueue","virtualinfinity","65","0","0"
"JumpWhenNotEqualInstruction","virtualinfinity","13","0","0"
"PutInstruction","virtualinfinity","15","0","0"
"Registers","virtualinfinity","165","2","0"
"JumpInstruction","virtualinfinity","16","0","0"
"CallInterruptInstruction","virtualinfinity","16","0","0"
"ShutdownListener","virtualinfinity","10","0","0"
"CollidableArenaObject","virtualinfinity","13","0","0"
"ArenaObject","virtualinfinity","114","0","0"
"DamageInflicter","virtualinfinity","12","0","1"
"TestAccel","virtualinfinity","79","1","3"
"RobotFileUtils","virtualinfinity","72","6","0"
"ArenaRenderer","virtualinfinity","149","0","4"
"BooleanAccessor","virtualinfinity","12","0","0"
"RobotStatusPane","virtualinfinity","316","0","5"
"Main","virtualinfinity","276","8","0"
"GradientExplosionRenderer","atrobots","21","0","1"
"MineRenderer","atrobots","24","0","3"
"SimpleExplosionRenderer","atrobots","15","0","1"
"MissileRenderer","atrobots","22","0","2"
"ScanRenderer","atrobots","59","0","1"
"RobotRenderer","atrobots","154","2","11"
"SnapshotRenderer","atrobots","13","0","1"
"ToggleProperty","virtualinfinity","111","6","0"
"ArenaPane","virtualinfinity","90","0","2"
"ArenaWindowBuilder","virtualinfinity","159","0","0"
"NewGameDialog","virtualinfinity","168","1","1"
"RobotScoreKeeper","virtualinfinity","79","2","3"
"RobotScore","virtualinfinity","43","0","4"
"RobotScanner","virtualinfinity","91","0","9"
"Robot","virtualinfinity","499","3","6"
"RobotListener","virtualinfinity","18","0","1"
"RobotScanResult","virtualinfinity","67","0","4"
"FinalRobotScore","virtualinfinity","57","2","2"
"ExposedFacetParams","apache","115","20","0"
"ExposedFacetQueryComponent","apache","238","13","4"
"ExposedIndexLookupParams","apache","96","13","0"
"ExposedIndexLookupQueryComponent","apache","313","26","3"
"ChunkedLongArray","apache","253","7","2"
"ExpandablePackedPair","apache","94","2","7"
"DoubleIntArrayList","apache","247","4","10"
"DoublePackedPair","lucene","43","0","2"
"PackedIntWrapper","lucene","40","0","0"
"IdentityReader","lucene","51","0","0"
"PackedPair","lucene","70","5","0"
"MonotonicReaderFactory","lucene","113","1","1"
"GrowingMutable","lucene","271","9","2"
"IndexUtil","apache","29","0","0"
"FieldSeparatingAnalyzer","apache","63","7","0"
"RandomSimilarityProvider","apache","162","6","0"
"AssertingIndexSearcher","apache","116","0","0"
"GroupTermProvider","lucene","354","8","3"
"ExposedUtil","lucene","117","18","17"
"FieldTermProvider","lucene","557","16","11"
"CachedProvider","lucene","161","3","0"
"NamedCollatorComparator","search","123","11","0"
"NamedNaturalComparator","search","71","1","0"
"NamedOrderDefaultComparator","search","65","1","0"
"ComparatorFactory","search","241","1","2"
"NamedComparator","search","82","8","0"
"CachedCollatorKeyProvider","lucene","39","2","0"
"TermProvider","lucene","188","3","0"
"ExposedIOFactory","lucene","90","0","0"
"ExposedTuple","lucene","99","7","0"
"ExposedFieldComparatorSource","lucene","225","8","0"
"TermProviderImpl","lucene","230","8","9"
"TermDocIterator","lucene","114","1","0"
"ExposedSettings","lucene","66","5","1"
"ExposedFactory","lucene","98","4","0"
"ConcatICUCollationAttributeFactory","search","60","0","0"
"ConcatICUCollatedTermAttributeImpl","search","89","5","13"
"ConcatICUCollationAnalyzer","search","58","4","0"
"ExposedTimSort","lucene","921","0","0"
"ExposedRequest","lucene","224","17","0"
"CachedTermProvider","lucene","187","3","0"
"ExposedCache","lucene","245","24","1"
"FixedGapCodec","lucene","140","5","0"
"ExposedPriorityQueue","lucene","260","0","2"
"FacetMapSingleLongFactory","search","211","5","6"
"FacetRequestGroup","exposed","335","53","10"
"FacetRequest","exposed","407","58","8"
"FacetRequestSubtags","exposed","107","4","4"
"SubtagsConstraints","exposed","29","4","0"
"CollectorPool","search","315","17","1"
"ParseHelper","search","37","6","3"
"FacetMap","search","157","11","10"
"FacetMapTripleFactory","search","353","0","2"
"Pool","search","29","0","0"
"FacetMapFactory","search","39","0","0"
"TagSumIterator","search","171","2","0"
"HierarchicalTermProvider","search","485","18","14"
"CollectorPoolFactory","search","202","15","1"
"FacetMapSinglePackedFactory","search","287","8","0"
"FacetResponse","search","362","31","4"
"TagCollector","search","332","13","0"
"TagExtractor","search","322","8","0"
"ExposedFacets","search","84","1","4"
"FacetMapDualFactory","search","128","4","3"
"ExposedPOC","search","282","33","7"
"MergingTermDocIterator","lucene","240","12","1"
"OrdinalTermsEnum","lucene","228","3","11"
"DatabaseStorage","summa","4094","287","14"
"MiniConnectionPoolManager","summa","467","9","0"
"PagingCursor","storage","202","3","0"
"Cursor","storage","63","1","0"
"CursorReaper","storage","98","0","0"
"ResultSetCursor","storage","399","6","0"
"ManagedStatement","summa","551","20","7"
"SimpleH2Storage","storage","148","10","0"
"StatementHandler","summa","413","19","0"
"H2Storage","storage","556","31","0"
"StorageUtils","statsbiblioteket","91","2","0"
"RMIStorageProxy","summa","477","37","0"
"AggregatingStorage","statsbiblioteket","985","50","1"
"StorageBase","statsbiblioteket","398","15","0"
"BatchJob","statsbiblioteket","245","21","0"
"WritableStorage","summa","161","4","0"
"UpdateFromFulldumpFilter","storage","270","10","0"
"StorageValidationFilter","storage","73","0","0"
"FullDumpFilter","storage","171","28","0"
"RecordWriter","storage","398","14","7"
"FilterCommons","storage","96","5","0"
"ClearBaseFilter","storage","124","11","0"
"RecordReader","storage","728","36","0"
"ProgressTracker","storage","231","18","6"
"RemoteStorage","storage","65","5","0"
"RemoteWritableStorage","storage","92","4","0"
"RemoteReadableStorage","storage","105","4","0"
"StorageWriterClient","summa","162","9","0"
"StorageIterator","summa","155","0","0"
"StorageReaderClient","summa","207","6","0"
"StorageTool","storage","527","41","1"
"StorageFactory","summa","105","2","0"
"Storage","summa","49","3","0"
"StorageWatcher","storage","307","20","0"
"StorageChangeListener","storage","42","1","0"
"QueryOptions","summa","488","28","1"
"ReadableStorage","summa","186","4","0"
"StorageConnectionFactory","summa","99","2","0"
"VoidStorage","statsbiblioteket","82","7","0"
"StorageRunner","summa","75","1","0"
"SearchStorage","statsbiblioteket","261","34","0"
"BaseStats","statsbiblioteket","284","17","0"
"RecordGenerator","summa","653","98","19"
"CloseCallbackStream","summa","116","3","2"
"ZIPParser","summa","140","7","4"
"LinjeformatToMARC21Slim","summa","451","88","1"
"GUNZIPFilter","summa","54","0","0"
"PullParser","summa","82","20","0"
"FlexibleMarcStreamReader","summa","389","55","56"
"ISO2709ToMARCXMLFilter","summa","330","43","5"
"Aleph2XML2","summa","651","93","4"
"ArchiveReader","summa","571","29","0"
"FileWatcher","summa","175","4","1"
"MARC21SlimTweaker","summa","145","11","0"
"StreamToContentFilter","summa","94","9","1"
"FileSystemReader","summa","69","9","0"
"FileReader","summa","375","23","0"
"RenamingFileStream","summa","105","5","0"
"MarcXmlWriterFixed","summa","421","28","0"
"ContentToStreamFilter","summa","85","0","0"
"StreamController","summa","232","9","0"
"ARCParserLight","summa","77","1","0"
"SBMARCParser","summa","426","79","0"
"XMLSplitterParser","summa","129","5","2"
"ARCParser","summa","386","48","4"
"MARCParser","summa","662","138","0"
"XMLSplitterFilter","summa","195","16","0"
"ARCRecordStream","summa","60","0","0"
"StreamParser","summa","54","0","0"
"ThreadedStreamParser","summa","415","22","5"
"XMLSplitterReceiver","summa","37","0","0"
"UnpackFilter","summa","322","28","0"
"ARCRecordStreamIterator","summa","33","0","0"
"XMLSplitterParserTarget","summa","138","26","0"
"XMLSplitterHandler","summa","366","79","1"
"AltoStepper","summa","140","25","0"
"AltoParser","summa","231","28","2"
"Alto","summa","358","66","8"
"AltoHighlighter","summa","258","33","16"
"AltoAnalyzerBase","summa","269","43","4"
"ASAltoAnalyzerSetup","support","50","5","4"
"ASAltoAnalyzer","support","283","25","6"
"ASAltoParser","support","41","0","0"
"HPAltoParser","support","41","0","0"
"HPAltoAnalyzerSetup","support","86","7","0"
"HPAltoAnalyzer","support","434","35","5"
"AltoAnalyzerSetup","summa","78","13","4"
"RelationResolver","summa","324","41","0"
"ETSSStatusFilter","summa","428","63","0"
"MARCXMLCopyFilter","summa","188","14","3"
"TikaDocumentCreator","statsbiblioteket","330","42","1"
"RecommendationResponse","summon","130","22","0"
"SummonResponseBuilder","support","560","64","6"
"SolrFacetRequest","support","181","30","6"
"FacetQueryTransformer","support","194","31","0"
"SummonSearchNode","support","698","155","2"
"SolrResponseBuilder","support","743","132","6"
"AdjustingSearcherAggregator","summa","148","9","0"
"TagAdjuster","summa","237","37","0"
"ResponseMerger","summa","584","52","14"
"TermStatQueryRewriter","summa","399","37","13"
"HarmoniseTestHelper","summa","73","15","0"
"AdjustingSearchClient","summa","131","9","0"
"InteractionAdjuster","summa","909","142","22"
"AdjustingSearchNode","summa","114","6","0"
"HubResponseMerger","support","816","90","36"
"TermStatAggregator","support","63","2","0"
"TermStatRewriter","support","242","15","15"
"RequestPruner","support","177","21","0"
"HubCompositeImpl","harmonise","141","9","0"
"HubComposite","harmonise","39","0","0"
"HubAdjusterBase","harmonise","98","5","0"
"HubLeafImpl","harmonise","113","16","0"
"HubAggregatorBase","harmonise","257","18","1"
"HubComponent","harmonise","156","26","0"
"HubComponentImpl","harmonise","202","26","0"
"HubFactory","harmonise","72","3","0"
"HubLeaf","harmonise","27","0","0"
"FieldAndTermAdjuster","support","86","3","0"
"TermStatTarget","support","185","20","4"
"SolrLeaf","support","114","15","0"
"RequestAdjuster","support","28","0","0"
"DidYouMeanKeys","summa","36","2","0"
"DidYouMeanResponse","summa","287","26","5"
"SuggestKeys","summa","82","7","0"
"LuceneKeys","summa","37","1","0"
"SuggestResponse","summa","209","28","4"
"SuggestSearchNode","summa","440","35","1"
"SuggestStorageH2","summa","941","92","1"
"SuggestStorage","summa","164","6","0"
"SuggestStorageImpl","summa","109","10","0"
"SBSolrSearchNode","summa","171","49","0"
"SolrManipulator","summa","504","64","2"
"SolrSearchNode","summa","721","168","3"
"LuceneUtil","summa","47","0","0"
"SortFactory","lucene","205","17","1"
"SortPool","lucene","153","8","0"
"ReusableSortComparator","lucene","152","21","1"
"WindowQueue","lucene","129","1","1"
"ExposedComparator","lucene","59","2","0"
"LuceneSearcherMBean","support","32","0","0"
"LuceneSearchNode","support","1147","145","14"
"DocumentShaperFilter","summa","253","56","0"
"LuceneFacetHandler","support","37","0","0"
"DiscardDOMSFilter","summa","196","30","1"
"PoolFactoryGate","statsbiblioteket","170","10","0"
"FacetRequest","summa","151","15","2"
"Browser","summa","59","2","0"
"IndexLookup","summa","258","8","1"
"IndexRequest","summa","224","25","0"
"Structure","statsbiblioteket","439","76","6"
"FacetManipulator","statsbiblioteket","89","0","0"
"IndexResponse","summa","267","38","21"
"FacetKeys","summa","146","2","0"
"FacetResultExternal","summa","199","55","2"
"FacetResultImpl","summa","565","89","13"
"FacetResult","summa","53","0","0"
"IndexKeys","summa","123","11","0"
"FacetStructure","statsbiblioteket","344","59","4"
"FacetIndexDescriptor","statsbiblioteket","236","32","2"
"FacetSearchNode","statsbiblioteket","499","37","1"
"Datetime","statsbiblioteket","204","33","6"
"NetmusikGenre","statsbiblioteket","60","2","0"
"OpenUrlEscape","statsbiblioteket","50","6","0"
"ISBN","statsbiblioteket","72","5","2"
"YearRange","statsbiblioteket","147","25","3"
"MD5","statsbiblioteket","64","5","2"
"CDATASectionKeepEntityEncoding","statsbiblioteket","50","6","1"
"Normalize","statsbiblioteket","97","23","0"
"IndexWatcher","statsbiblioteket","230","13","0"
"SearchNodeFactory","statsbiblioteket","159","10","0"
"SearchNodeDummy","summa","99","9","0"
"SummaSearcherDummy","summa","78","6","0"
"SummaSearcherFactory","statsbiblioteket","74","2","0"
"SearchNodeAsync","statsbiblioteket","131","4","0"
"SearchNode","statsbiblioteket","91","3","0"
"PagingSearchNode","statsbiblioteket","340","11","0"
"SummaSearcherAggregator","statsbiblioteket","327","35","0"
"SummaSearcherImpl","statsbiblioteket","489","18","6"
"RMISearcherProxy","summa","217","15","0"
"SearchNodeAggregator","statsbiblioteket","182","6","0"
"DocumentSearcher","summa","309","29","0"
"DocumentSearcherImpl","summa","361","63","0"
"DocIDCollector","summa","172","8","3"
"DummyResponse","search","80","13","0"
"Timer","summa","45","3","0"
"RemoteSearcher","search","56","0","0"
"ResponseCollection","summa","272","31","0"
"DocumentResponse","search","494","60","1"
"DocumentKeys","search","173","23","2"
"SummaSearcher","summa","74","2","0"
"Response","summa","63","2","0"
"SearchTool","search","123","7","0"
"TimerImpl","summa","89","11","0"
"SearchClient","summa","101","5","0"
"ResponseImpl","summa","63","2","0"
"QueryException","summa","98","13","0"
"Request","summa","46","2","0"
"IndexListener","statsbiblioteket","33","0","0"
"QueryRewriter","summa","507","69","0"
"SummaSearcherRunner","summa","84","5","0"
"QueryFuzzinator","summa","129","16","0"
"QuerySanitizer","summa","314","64","0"
"QueryPhraser","summa","121","12","0"
"SearchNodeImpl","statsbiblioteket","404","46","1"
"SummaSearcherMBean","statsbiblioteket","125","0","2"
"QueryRewritingSearchNode","statsbiblioteket","246","27","0"
"SearchNodeLoadBalancer","statsbiblioteket","158","10","0"
"CachingSearchNode","statsbiblioteket","112","9","0"
"ClientRMIConnection","summa","161","15","0"
"ControlRMIConnection","summa","62","4","0"
"RemoveServiceCommand","control","116","5","0"
"DeployCommand","control","149","12","0"
"IdCommand","control","52","3","0"
"KillCommand","control","85","3","0"
"StartServiceCommand","control","138","7","0"
"WaitCommand","control","91","4","1"
"PingCommand","control","60","2","0"
"RepositoryCommand","control","90","9","0"
"StatusCommand","control","100","11","0"
"ServicesCommand","control","126","17","0"
"RestartServiceCommand","control","166","5","0"
"ClientShell","control","245","11","0"
"SpecCommand","control","93","9","0"
"StopServiceCommand","control","78","3","0"
"ServiceManager","summa","204","20","0"
"Client","summa","1280","65","1"
"ClientMBean","summa","32","0","0"
"IdCommand","control","71","3","0"
"KillCommand","control","75","3","0"
"StartCommand","control","74","2","0"
"PingCommand","control","67","2","0"
"StatusCommand","control","71","3","0"
"ServiceShell","control","77","2","0"
"StopCommand","control","73","2","0"
"ServiceBase","summa","277","15","0"
"Launcher","summa","99","6","0"
"FilterService","summa","253","2","0"
"StorageService","summa","136","1","0"
"ScriptService","summa","332","16","0"
"ServiceBaseMBean","summa","32","0","0"
"SearchService","summa","112","7","0"
"BundleSpecBuilder","summa","874","79","4"
"BundleLoadingException","summa","60","2","0"
"RemoteURLRepositoryServer","summa","159","10","0"
"BundleTool","summa","425","25","0"
"Bundle","summa","95","7","0"
"BundleFormatException","summa","49","2","0"
"LocalURLRepository","summa","138","6","0"
"BundleUtils","summa","150","11","1"
"BundleStub","summa","299","36","0"
"URLRepository","summa","280","31","0"
"RemoteURLRepositoryClient","summa","149","12","0"
"BundleLoader","summa","188","12","0"
"ControlCore","summa","620","39","1"
"ConfigurationManager","summa","127","4","0"
"ControlCommand","control","98","8","0"
"DeployCommand","control","179","13","0"
"StartCommand","control","161","8","0"
"PingCommand","control","71","2","0"
"RepositoryCommand","control","118","8","0"
"StatusCommand","control","144","24","0"
"ServicesCommand","control","147","16","0"
"ClientsCommand","control","149","15","0"
"ControlShell","control","148","5","0"
"StopCommand","control","120","7","0"
"ControlCoreMBean","summa","28","0","0"
"RepositoryManager","summa","675","28","1"
"ControlUtils","summa","166","14","0"
"ClientManager","summa","325","38","1"
"SSHDeployer","control","533","66","2"
"LocalDeployer","control","270","27","0"
"ClientConnection","summa","264","23","0"
"ClientException","summa","62","7","0"
"ServiceConnectionFactory","summa","97","4","0"
"Service","summa","112","5","0"
"ServicePackageException","summa","43","4","0"
"ClientDeploymentException","summa","38","2","0"
"ClientDeployer","summa","169","9","0"
"Status","summa","99","4","0"
"InvalidServiceStateException","summa","61","7","0"
"BadConfigurationException","summa","51","2","0"
"RemoteRepository","api","41","5","0"
"WritableBundleRepository","control","67","2","0"
"BundleRepository","control","117","8","0"
"VoidFeedback","control","84","6","0"
"Message","control","126","25","2"
"ConsoleFeedback","control","98","0","0"
"ShellContextFeedback","control","69","0","0"
"RemoteFeedback","api","63","4","0"
"RemoteFeedbackClient","api","117","3","0"
"RemoteConsoleFeedback","api","111","2","0"
"Feedback","control","49","0","0"
"FeedbackFactory","control","50","1","0"
"FeedbackShellContext","control","150","12","0"
"Monitorable","summa","39","0","0"
"NoSuchServiceException","summa","42","2","0"
"ServiceDeploymentException","summa","39","2","0"
"NoSuchClientException","summa","31","1","0"
"ControlConnection","summa","161","6","0"
"DeployerFactory","summa","52","1","0"
"InvalidClientStateException","summa","45","6","0"
"StatusMonitor","summa","325","9","0"
"ClientConnectionFactory","statsbiblioteket","141","8","0"
"CharSequenceReader","summa","97","12","0"
"LowercaseMap","summa","92","32","0"
"Layout","summa","198","48","2"
"AbortNotification","common","58","3","0"
"HelpNotification","common","61","3","0"
"BadCommandLineNotification","common","50","1","0"
"TraceNotification","common","32","0","0"
"SyntaxErrorNotification","common","32","1","0"
"Notification","common","51","2","0"
"ClearNotification","common","18","0","0"
"ShellContext","summa","87","9","0"
"Help","common","45","2","0"
"Trace","common","39","0","0"
"Exec","common","43","1","0"
"Quit","common","39","1","0"
"Clear","common","40","0","0"
"RemoteCommand","summa","71","4","0"
"VoidShellContext","summa","98","13","0"
"Script","summa","119","15","0"
"Core","summa","488","54","3"
"Command","summa","172","27","0"
"ShellContextImpl","summa","211","13","0"
"SimpleTriple","summa","44","0","0"
"LoggingReader","summa","106","9","0"
"StringTracker","summa","48","8","0"
"ResourceTrackerImpl","summa","123","0","5"
"IndirectIntSorter","summa","124","0","0"
"StringMap","summa","162","50","9"
"BitUtil","summa","64","0","6"
"ConfigurationTranscoder","summa","42","2","0"
"ListSorter","summa","95","0","0"
"ArrayUtil","summa","150","0","2"
"FlexiblePair","summa","97","3","0"
"PriorityQueue","summa","280","6","1"
"ResourceTracker","summa","80","0","0"
"FutureInputStream","summa","158","0","2"
"XSLTUtil","summa","138","11","6"
"Scheduler","common","58","0","0"
"Schedule","common","63","0","0"
"Schedulable","common","39","0","0"
"CopyingInputStream","summa","82","0","4"
"SimplePair","summa","40","0","0"
